,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
2001-06-12,"9494,9498,9487,9500,9497,9496,9491,9489,9495,9501,9493,9488,9492,9499",14,"875.124,-622.872,603.624,-881.304,-226.812,828.09,45.01464,453.6144,261.0096,-857.442,-196.2906,633.786,31.12788,-263.8914","-135.6654,378.4542,332.1492,160.788,-159.1332,126.6456,390.9912,268.1502,55.5537,-232.833,88.41,-316.0236,314.1762,283.143","DKI,CAI,CAO,DAO,CAO,BXO,HSX,EKI,DSO,HSX,FAO,CSI,DAO,CAO","BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETAAGAMMA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA","11,7,8,3,9,1,1,21,9,1,6,15,11,6"
2001-06-13,"9499,9498,9495,9488,9502,9493,9491,9500,9501,9492,9489,9494,9497,9487",14,"-47.2416,-449.6394,472.5546,746.874,-795.282,0.0,206.3016,-782.4,-749.58,229.2828,596.091,927.018,-32.72046,719.472","280.8222,360.2118,71.3814,-299.643,-404.3676,102.6738,404.4582,157.4688,-252.4146,328.2144,315.0726,-117.2592,-161.4138,347.8758","DSO,CSO,BXO,CSO,DAO,FSO,CSO,HAX,CSO,DAO,CSO,EAO,CRO,CAO","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","6,2,3,2,3,3,3,3,1,5,9,5,5,3"
2001-06-14,"9494,9492,9504,9502,9501,9503,9500,9497,9499,9498,9495,9488,9491,9487,9493,9489",16,"937.386,415.7052,-912.786,-721.746,-612.696,-855.048,-638.58,194.319,186.5406,-269.8584,528.3534,845.664,383.6136,813.588,243.7992,729.126","-115.6734,327.4338,95.2458,-422.2092,-256.1346,207.3912,137.4006,-179.307,294.9486,357.4398,70.2048,-297.2634,418.5204,349.2582,101.1846,315.8166","HSX,DAO,HSX,DSO,CAO,CSO,CAO,CRO,DSO,DSO,CRO,HSX,CSO,DAO,FAO,DAO","ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","2,5,1,5,2,4,6,4,4,4,8,1,4,4,3,4"
2001-06-15,"9492,9491,9493,9505,9504,9501,9495,9498,9489,9502,9499,9497,9488,9506,9487,9503,9500",17,"580.5468,537.8892,442.0152,-838.764,-837.252,-433.8762,678.036,-75.5406,830.13,-602.172,390.7056,366.126,895.218,-887.646,861.732,-784.032,-481.0668","327.621,433.3422,100.6404,349.701,107.6904,-227.9994,87.2826,370.3098,317.8578,-426.1128,309.9414,-163.893,-278.6034,273.3156,367.143,236.58,150.2772","DSO,CSO,FSO,BXO,CKO,CSO,DAO,DSO,EAO,DAO,CSO,DSO,HSX,HSX,CRO,EAO,DAO","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","4,3,3,3,7,4,13,10,9,12,4,5,1,1,3,14,7"
2001-06-16,"9491,9507,9506,9505,9504,9503,9502,9500,9499,9498,9493,9495,9489,9501,9497,9492",16,"690.996,-405.1398,-833.028,-747.024,-730.776,-658.428,-455.286,-289.578,587.9382,120.612,618.504,808.572,874.902,-239.2614,535.584,696.828","374.6988,196.6632,269.5308,360.855,103.5666,232.4586,-415.167,130.5156,294.948,368.5584,84.7968,72.768,320.1924,-231.2892,-179.9562,328.4598","HSX,CSO,CAO,DAO,CKO,EAI,DSO,DAO,HSX,DAO,ESO,DAO,DSO,DSO,AXX,CSO","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","2,5,6,3,5,24,14,7,1,9,3,12,4,5,1,3"
2001-06-17,"9508,9507,9506,9505,9504,9503,9502,9501,9500,9499,9498,9497,9492,9493,9495,9491",16,"770.34,-177.081,-791.766,-636.264,-566.2956,-503.1714,-279.8028,-32.2641,-65.1852,754.494,324.5316,704.136,818.274,844.356,899.574,763.212","-333.5196,177.054,266.988,325.8516,98.8782,196.0908,-418.644,-233.8302,144.1002,313.3068,367.842,-178.0176,362.9484,106.206,92.7588,436.5828","AXX,CSO,FKI,DSO,CKO,FKC,DAO,CAO,CAO,HSX,CSO,BXO,AXX,HSX,DAO,HSX","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAA,BETAA,BETAA,ALPHA,BETAA,BETAA,ALPHA,ALPHA,BETAA,ALPHA","1,2,17,2,7,35,19,7,7,1,4,2,1,1,9,1"
2001-06-18,"9502,9499,9508,9507,9506,9505,9504,9503,9501,9500,9498,9497,9493,9492,9491,9495",16,"-74.9136,840.402,845.202,16.19676,-673.236,-468.9906,-382.0182,-314.7696,176.3706,146.1636,525.0252,860.226,914.388,865.08,826.788,938.928","-421.4106,316.4112,-330.012,174.7512,262.2198,321.4668,111.1974,208.4676,-235.2936,142.3698,353.3448,-156.807,110.0844,366.9216,425.1414,80.7342","DAO,HAX,AXX,BXO,FKI,DAO,CKO,EKI,DAO,DSO,HSX,AXX,HSX,HSX,HAX,DAO","BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA","14,1,1,4,24,3,5,39,16,9,2,1,1,1,2,6"
2001-06-19,"9500,9503,9505,9504,9502,9501,9499,9498,9493,9506,9491",11,"348.7542,-112.1772,-288.234,-179.2548,118.6152,374.235,881.364,667.806,937.338,-506.9046,841.356","158.2356,205.4286,317.7456,107.7678,-437.7066,-251.3988,320.247,355.1988,114.6396,257.3124,428.997","CAO,EKI,DAO,CKO,DAO,CAO,HSX,HRX,HSX,FAI,HAX","BETAAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,ALPHAGAMMA","5,42,3,5,10,10,1,1,1,30,2"
2001-06-20,"9506,9509,9505,9503,9502,9501,9500,9498,9504",9,"-321.3054,64.9554,-76.6416,95.31,305.3358,568.491,559.9164,788.49,32.7864","284.8944,-207.2292,330.3408,235.677,-437.9112,-233.6964,159.7374,343.413,105.3954","FAO,DSO,DSO,FAI,BXO,CAO,BXO,AXX,CKO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA","35,8,3,56,7,9,3,3,8"
2001-06-21,"9511,9510,9509,9506,9505,9504,9503,9502,9501,9500,9498",11,"-742.326,540.6714,288.6036,-124.8024,107.1588,273.879,311.7612,422.1552,706.842,699.174,851.028","163.6098,-122.4708,-191.5686,281.6718,328.599,121.1022,235.2522,-452.1978,-230.9346,178.374,363.651","AXX,BXO,DAO,FAO,CSO,CKO,FAI,CRO,DAO,BXO,AXX","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA","1,4,15,27,3,5,49,2,11,3,2"
2001-06-22,"9513,9512,9510,9509,9505,9504,9503,9501,9506,9511",10,"-856.272,-449.259,710.838,479.2194,317.1942,440.7552,496.2024,828.522,62.5518,-587.277","331.662,-394.2894,-118.9608,-206.6046,312.8136,105.0216,236.3544,-225.7974,279.624,140.967","HSX,DAO,DSO,DAO,HSX,CKO,FKI,CAO,FSO,AXX","ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA","1,6,3,15,1,10,40,8,27,1"
2001-06-23,"9513,9512,9511,9510,9509,9506,9505,9504,9503,9501,9514",11,"-801.18,-256.9818,-394.5936,843.972,659.586,277.0302,494.6976,626.13,651.528,900.69,-819.888","341.8446,-383.8446,135.408,-129.3972,-187.0848,279.1536,314.1432,124.1808,255.0882,-219.0516,263.2554","DAO,DAO,DSO,DSO,DSO,FSI,AXX,DKO,FAI,HSX,HSX","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA","4,13,8,4,12,15,1,4,29,2,1"
2001-06-24,"9509,9516,9515,9514,9513,9512,9511,9510,9506,9504,9503,9501",12,"809.394,-869.178,-677.568,-732.372,-722.256,-76.6152,-210.0888,917.472,503.9634,777.102,795.51,919.908","-164.958,184.9482,-122.7792,257.1936,351.8046,-386.8374,131.4072,-122.199,265.4082,112.5486,244.5684,-212.238","CSO,HAX,CAO,HSX,FAO,EAO,DAO,CRO,FAO,CKO,FAO,HAX","BETA-GAMMA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHA","5,1,5,3,13,17,22,3,13,5,20,1"
2001-06-25,"9516,9514,9513,9511,9509,9506,9504,9503,9515,9512",10,"-761.142,-594.3162,-605.568,0.0,903.096,651.468,881.94,881.904,-499.476,137.5032","159.9906,250.4676,345.654,128.658,-172.6518,252.4926,102.8124,235.377,-129.7254,-388.248","HSX,HAX,EAO,DAI,CSO,FSO,DSO,EAO,DAO,EAI","ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETA-GAMMA-DELTA","2,1,19,21,3,9,4,17,12,24"
2001-06-26,"9512,9517,9516,9515,9514,9513,9511,9504,9503,9506",10,"338.2614,783.396,-619.986,-306.3762,-425.5134,-452.502,226.5786,928.446,905.604,791.34","-417.354,-263.7252,168.9366,-151.4376,244.512,324.2214,111.465,126.747,257.5398,258.654","EAI,BXO,CSO,DAO,HSX,FAI,DAO,HSX,DSO,CAO","BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA","31,3,2,17,1,31,21,1,7,6"
2001-06-27,"9517,9516,9515,9513,9512,9511,9506,9514,9504",9,"872.316,-422.4144,-82.1982,-256.9728,516.219,423.7872,868.266,-220.4886,925.188","-240.5058,145.524,-138.8988,319.1268,-384.66,129.1596,281.9358,223.5852,136.704","CRO,HSX,DAO,FSO,EAI,DAO,CSO,CAO,HSX","BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA","4,1,12,22,23,14,2,8,1"
2001-06-28,"9518,9516,9513,9512,9511,9506,9520,9519,9514,9515",10,"-447.5556,-225.1704,-76.6146,667.416,561.5268,896.832,-394.491,-354.1836,0.0,147.2316","-722.13,140.6442,315.9276,-394.3266,131.2752,289.4256,-201.9918,239.8128,220.6392,-156.7212","DSO,CSO,FSO,EAI,DSO,CSO,AXX,BXO,CSO,DSO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","5,3,24,18,10,2,1,4,6,12"
2001-06-29,"9518,9516,9515,9512,9511,9522,9521,9519,9513,9514",10,"-360.8844,-16.18794,368.982,812.742,754.122,-855.528,-699.786,-172.0512,152.6352,219.3372","-716.13,153.9498,-122.8296,-369.0012,138.7854,-149.1342,-128.0778,251.6286,314.622,236.1072","DSO,CSO,CSO,CAO,DSO,HSX,AXX,BXO,DAO,BXO","BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA","3,3,6,5,6,1,2,5,9,3"
2001-06-30,"9523,9522,9516,9512,9511,9513,9518,9515",8,"-363.1434,-738.654,224.3604,869.082,854.496,373.9176,-241.8264,580.0464","-727.386,-159.4626,153.4272,-358.5132,162.7098,300.4968,-720.366,-134.7732","CSO,HSX,CSO,HSX,HSX,CSO,DSO,HSX","BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA","4,1,2,1,1,6,2,1"
2001-07-01,"9518,9525,9524,9522,9516,9515,9513,9511,9523",9,"-134.2356,-850.038,-600.222,-577.5426,406.413,741.828,564.4614,915.882,-242.604","-723.21,293.4918,210.1458,-168.8118,154.9482,-127.9386,320.55,172.7346,-742.068","AXX,HSX,AXX,HAX,CAO,CAO,CAO,AXX,DAO","ALPHA,ALPHA,ALPHA,ALPHA,BETAA,BETAA,BETAA,ALPHA,BETAA","1,1,1,1,4,2,5,1,9"
2001-07-02,"9516,9526,9525,9523,9522,9518,9515,9513,9527",9,"583.1172,-839.658,-774.678,-118.4928,-381.7668,45.87822,857.466,691.542,-873.222","159.1242,126.402,284.2602,-745.2,-176.4582,-714.348,-135.0036,325.9014,-273.1914","HSX,HSX,CAO,DAO,HSX,AXX,HSX,CSO,HAX","ALPHA,ALPHA,BETAA,BETAA,ALPHA,ALPHA,ALPHA,BETAA,ALPHA","1,2,2,5,1,1,1,3,2"
2001-07-03,"9516,9527,9526,9525,9523,9518,9515,9522,9528,9513",10,"751.65,-783.408,-748.59,-658.566,21.2337,131.691,929.406,-195.2034,-809.052,812.49","150.8082,-300.6144,101.0442,258.9534,-756.9,-735.924,-90.165,-181.4076,39.6234,352.017","CSO,CAO,CAO,CAO,DSO,BXO,HAX,HSX,CAO,HSX","BETAA,BETAA,BETAA,BETAA,BETAA,BETAA,ALPHA,ALPHA,BETAA,ALPHA","4,4,3,3,6,4,1,1,3,1"
2001-07-04,"9526,9523,9522,9513,9516,9525,9527,9529,9528,9515",10,"-563.1324,142.4802,16.3872,862.62,850.818,-497.8248,-693.396,-892.32,-688.722,938.52","106.158,-736.872,-184.2864,344.8338,142.7676,282.2232,-308.8584,98.799,62.8872,-97.587","AXX,DSO,HRX,HSX,HSX,CAO,CAO,HAX,CAO,AXX","ALPHA,BETAA,ALPHA,ALPHA,ALPHA,BETAA,BETAA,ALPHA,BETAA,ALPHA","1,9,1,2,1,5,6,1,5,1"
2001-07-05,"9528,9526,9525,9523,9518,9516,9527,9529",8,"-500.9364,-381.789,-347.9892,257.0562,365.9358,913.272,-532.4286,-796.476","19.6338,82.1124,276.2064,-755.544,-751.518,170.6472,-318.8514,86.3448","CAO,HSX,DAO,DAO,BXO,HSX,CAO,HAX","BETAA,ALPHA,BETAA,BETAA,BETAA,ALPHA,BETAA,ALPHA","2,1,8,6,3,1,4,1"
2001-07-06,"9529,9528,9522,9527,9523,9518,9525,9516",8,"-676.104,-307.9008,410.3478,-337.6308,390.5544,495.8094,-155.6592,922.656","76.2306,12.64362,-198.2106,-342.2028,-741.426,-704.808,255.4182,197.8098","HSX,AXX,BXO,HAX,BXO,BXO,CSO,HSX","ALPHA,ALPHA,BETAA,ALPHA,BETAA,BETAA,BETAA,ALPHA","1,2,3,3,2,2,7,1"
2001-07-07,"9529,9530,9528,9527,9525",5,"-499.413,378.642,-82.446,-125.4708,47.1933","49.69278,-357.8724,8.043,-347.304,237.033","HSX,CSO,BXO,HAX,CSO","ALPHA,BETAA,BETAA,ALPHA,BETAA","3,5,2,3,5"
2001-07-08,"9530,9527,9525,9529,9528",5,"560.0364,78.5778,245.5356,-275.6802,147.9762","-367.062,-349.2492,269.3244,41.78118,6.82584","CSO,HAX,BXO,DSO,AXX","BETAA,ALPHA,BETA,BETAA,ALPHA","10,3,4,9,1"
2001-07-09,"9531,9529,9525,9532,9527,9530",6,"-306.951,-49.26006,447.9882,672.81,265.014,700.776","-156.9678,54.07896,257.2962,105.4908,-333.0138,-358.6644","DAO,DSO,AXX,BXO,CAO,CSO","BETA-GAMMA,BETAA,ALPHA,BETA-GAMMA,BETAA,BETAA","13,12,2,2,7,5"
2001-07-10,"9533,9532,9531,9530,9529,9527",6,"-453.786,785.952,-114.927,805.32,163.4352,464.0754","-202.7226,97.242,-161.5566,-347.829,53.25222,-343.8186","CSO,CSO,DAI,CSO,DSO,CAO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA","3,4,25,2,10,5"
2001-07-11,"9535,9533,9532,9530,9529,9527,9531,9534",8,"-903.072,-273.7692,906.132,884.736,367.65,625.554,131.2464,-833.862","148.2516,-209.49,98.2278,-301.935,55.74072,-336.4212,-163.056,268.3752","HAX,DAO,AXX,HRX,DSO,CSO,DAO,BXO","ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA","1,6,1,1,6,3,16,2"
2001-07-12,"9538,9537,9536,9535,9533,9531,9527,9529",8,"-900.936,-591.7266,-597.7482,-838.278,-49.01658,322.4724,732.906,553.8984","270.9912,-166.6566,130.1112,68.5398,-213.879,-161.2854,-343.4736,45.07488","HSX,CRO,CSO,HSX,DSO,DAO,BXO,CSO","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA","1,6,4,1,5,10,4,4"
2001-07-13,"9537,9535,9531,9529,9533,9539,9538,9536",8,"-398.4144,-696.882,513.2886,698.484,194.712,-395.0928,-833.91,-362.325","-160.5156,86.1432,-155.8638,69.696,-214.0824,-350.565,267.1452,134.9592","DAO,HSX,DAO,HSX,CSO,CSO,HAX,CSO","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","10,1,7,3,7,5,1,5"
2001-07-14,"9541,9540,9539,9538,9537,9536,9535,9533,9531,9529",10,"-848.646,-617.616,-171.0318,-754.284,-179.1738,-145.6284,-541.4772,410.406,688.782,821.394","235.8678,161.811,-372.8298,222.5706,-199.7418,112.4964,25.20786,-210.0708,-146.1918,81.3438","CAO,AXX,EAO,HAX,DAO,CSO,HSX,CSO,DAO,HSX","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA","5,1,9,1,14,4,1,5,5,1"
2001-07-15,"9541,9540,9539,9538,9537,9533,9531,9536,9529,9535",10,"-728.364,-458.6742,31.46994,-609.312,49.1502,601.44,823.002,48.72498,906.252,-353.2368","251.6802,265.4958,-360.2868,209.2002,-202.5156,-201.966,-133.1106,110.157,96.51,32.72208","DSO,BXO,EAI,HAX,DAO,DAO,BXO,CRO,HAX,HSX","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHA,BETAA,BETAA,BETAA,BETAA,ALPHA,ALPHA","6,2,26,1,10,8,2,4,1,1"
2001-07-16,"9543,9542,9541,9538,9533,9537,9535,9539,9529",9,"-816.534,-859.428,-606.192,-427.7856,758.388,258.8262,-131.2776,233.3604,937.164","-405.0702,69.012,224.118,198.3282,-173.9328,-201.3294,26.65938,-359.3862,114.7254","HAX,CSO,DSO,HKX,DSO,DSO,HSX,EAI,HSX","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA,ALPHAGAMMA","1,2,8,1,8,9,1,21,1"
2001-07-17,"9542,9546,9545,9544,9539,9538,9533,9535,9537,9543,9541",11,"-758.496,-783.606,-350.8386,223.5534,423.1584,-251.262,859.914,82.2174,440.7018,-762.99,-439.4838","87.8574,-311.481,79.3332,141.903,-354.7692,191.4096,-176.3082,24.66504,-196.9374,-415.5618,213.7032","CSO,DSO,DAO,BXO,EAI,CSO,DSO,HSX,DSO,ESO,DSO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETA-GAMMA,BETA-GAMMA","4,4,6,8,20,1,5,1,8,6,6"
2001-07-18,"9542,9539,9545,9544,9541,9538,9537,9535,9533,9546,9543",11,"-603.168,614.346,-130.3872,399.5172,-249.9768,-47.71836,629.214,291.4638,921.744,-651.468,-647.664","73.542,-344.8104,73.164,194.4924,206.1378,187.245,-171.381,26.5473,-159.0918,-326.6664,-415.7154","BXO,EAI,DAO,BXO,DAO,HSX,DAO,HSX,CRO,DAO,EAO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA","4,20,7,8,6,1,10,1,5,6,13"
2001-07-19,"9549,9548,9547,9546,9545,9542,9541,9539,9538,9537,9535,9550,9543,9544",14,"-791.982,-693.804,341.3976,-480.2712,130.3956,-411.6264,-31.4835,758.838,173.0718,758.508,485.6034,-577.809,-487.7046,563.5818","-108.0714,228.1278,-329.8716,-339.303,71.658,62.175,218.046,-346.0266,203.2134,-176.6028,32.35704,70.6866,-428.3682,185.1828","AXX,CSO,CRO,DSO,CSO,BXO,CSO,CAO,HAX,CAO,HSX,BXO,EAI,BXO","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","1,2,2,6,3,4,5,6,1,4,1,2,12,4"
2001-07-20,"9545,9551,9550,9548,9546,9543,9541,9539,9537,9535,9549,9538,9542",13,"351.8214,901.038,-382.8528,-529.8474,-295.2108,-326.8722,156.6522,853.944,855.864,654.588,-668.28,354.3384,-211.314","58.59906,178.4484,43.15074,230.7864,-348.0534,-436.8426,217.6812,-342.7092,-163.119,41.92326,-121.8252,206.3682,54.89928","AXX,BXO,BXO,CSO,ESO,ESO,CSO,HAX,CSO,HSX,HSX,HAX,CRO","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA","1,2,3,4,9,13,4,1,2,1,1,1,8"
2001-07-21,"9551,9549,9548,9546,9545,9543,9542,9541,9540,9538,9537,9535,9539",13,"930.09,-501.183,-368.8692,-63.6006,564.9204,-106.377,32.78988,427.9188,637.17,545.5104,926.682,798.498,886.698","162.0426,-134.3202,205.575,-338.0826,67.4868,-443.0748,51.45684,191.7534,237.3582,214.3578,-142.149,56.03526,-319.1106","BXO,AXX,DAO,EAI,HRX,EAI,CRO,CAO,AXX,HAX,HRX,HSX,HAX","BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA","3,1,7,10,1,24,8,3,2,1,1,1,1"
2001-07-22,"9549,9548,9546,9545,9543,9541,9538,9535,9542",9,"-260.484,-142.6656,224.4606,638.376,91.248,555.0102,707.628,892.884,243.156","-161.2638,182.2872,-274.6584,88.2372,-444.5454,230.1072,210.3408,89.6424,52.72188","HRX,DAO,CRO,DSO,EAI,CAO,HAX,HSX,DSO","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAA,ALPHA,ALPHA,BETAA","1,9,4,7,30,2,1,1,8"
2001-07-23,"9548,9546,9545,9541,9535,9543,9538",7,"63.2958,429.981,784.428,696.078,936.258,286.2402,817.776","196.344,-315.909,102.5472,257.3946,91.1562,-427.2894,224.6328","DSO,DSO,DSO,HSX,HAX,EAI,HAX","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,ALPHAGAMMA","12,11,16,1,1,41,1"
2001-07-24,"9548,9543,9541,9538,9545,9552,9546,9553",8,"248.7156,442.4544,811.116,893.466,890.994,-239.286,635.82,-516.6738","214.0602,-465.1374,272.9304,226.6986,105.12,132.3378,-303.4236,143.622","DAO,EAI,AXX,HAX,DAO,CRO,HRX,CSO","BETAAGAMMA,BETA-GAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","6,40,1,1,7,2,3,3"
2001-07-25,"9555,9554,9553,9546,9545,9541,9543,9548,9538",9,"-766.314,796.092,-332.5932,779.16,932.436,876.468,605.856,467.1372,912.678","-196.5504,219.612,117.3216,-272.5806,123.5478,272.5752,-425.9568,205.1412,243.531","BXO,BXO,CSO,CSO,HAX,HRX,EKI,CSO,HSX","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETAAGAMMA,ALPHAGAMMA","2,2,8,2,2,1,32,3,1"
